channel,name,deepcell,cellpose
1,Hoechst,1,1
2,CD164,2,2
3,FOXP3,1,1
4,GATA3,1,1
5,MUC-1,2,2
6,p53,1,1
7,Vimentin,2,2
8,T-bet,1,1
9,Cytokeratin,2,2
10,PD-L1,2,2
11,Ki-67,1,1
12,CD15,2,2
13,CD30,2,2
14,CD2,2,2
15,Granzyme B,2,2
16,CD5,2,2
17,MMP-9,2,2
18,CD4,2,2
19,LAG-3,2,2
20,CD25,2,2
21,CD56,2,2
22,CD20,2,2
23,PD-1,2,2
24,CD11c,2,2
25,CD162,2,2
26,CD16,2,2
27,CD11b,2,2
28,CD194,2,2
29,IDO-1,2,2
30,EGFR,2,2
31,VISTA,2,2
32,HLA-DR,2,2
33,ICOS,2,2
34,BCL-2,2,2
35,CD3,2,2
36,CD69,2,2
37,CD8,2,2
38,CD7,2,2
39,CD45RA,2,2
40,CD45,2,2
41,CD1a,2,2
42,CD57,2,2
43,B-catenin,1,1
44,CD45RO,2,2
45,CD71,2,2
46,CD34,2,2
47,CD68,2,2
48,CD38,2,2
49,Collagen-IV,2,2
50,CD31,2,2
51,Podoplanin,2,2
52,CD138,2,2
53,CD163,2,2
54,Mast-cell-tryptase,2,2
55,MMP-12,2,2
56,DRAQ5,1,1
